Timestamp Saccade Onset,Timestamp Saccade Offset,Exclude from Anlysis,Timestamp Saccade Onset (2),X coordinate saccade onset,Y coordinate saccade onset,Timestamp Saccade Offset (2),X coordinate saccade offset,Y coordinate saccade offset,Saccade duration,Saccade latency,Movement,Mean horizonal position,Std horizonal position,Mean vertical position,Std vertical position,Trial #
1573.3330249786377,2807.4731826782227,0,1573.3330249786377,5.5200000000000005,1.22,2807.4731826782227,-4.84,5.66,1234.140157699585,499.10497665405273,1,-4.84,0,5.66,0,168
,1167.229175567627,0,,0.0,-6.72,1167.229175567627,-5.38,4.44,,,1,-5.38,0,4.44,0,169
1577.9571533203125,1968.0490493774414,0,1577.9571533203125,-5.38,4.44,1968.0490493774414,3.04,3.84,390.0918960571289,410.72797775268555,1,3.04,0,3.84,0,169
2344.8421955108643,2744.2431449890137,0,2344.8421955108643,3.04,3.84,2744.2431449890137,4.36,0.88,399.4009494781494,376.79314613342285,1,4.36,0,0.88,0,169
3310.819149017334,,1,3310.819149017334,4.36,0.88,,,,,566.5760040283203,1,,0,,0,169
,1210.7820510864258,0,,0.0,-6.72,1210.7820510864258,-3.24,5.7,,,1,-3.24,0,5.7,0,170
1874.8350143432617,2430.177927017212,0,1874.8350143432617,-3.24,5.7,2430.177927017212,-0.86,0.46,555.3429126739502,664.0529632568359,1,-0.86,0,0.46,0,170
2840.8310413360596,3374.8960494995117,0,2840.8310413360596,-0.86,0.46,3374.8960494995117,3.48,-2.56,534.0650081634521,410.65311431884766,1,3.48,0,-2.56,0,170
3974.5330810546875,,1,3974.5330810546875,3.48,-2.56,,,,,599.6370315551758,1,,0,,0,170
,912.8251075744629,0,,0.0,-6.72,912.8251075744629,-0.66,0.44,,,1,-0.66,0,0.44,0,171
1275.752067565918,1725.9950637817383,0,1275.752067565918,-0.66,0.44,1725.9950637817383,-0.88,-3.02,450.2429962158203,362.9269599914551,1,-0.88,0,-3.02,0,171
2260.1029872894287,,1,2260.1029872894287,-0.88,-3.02,,,,,534.1079235076904,1,,0,,0,171
,855.828046798706,0,,0.0,-6.72,855.828046798706,0.18,0.44,,,1,0.18,0,0.44,0,172
1989.9709224700928,,1,1989.9709224700928,0.18,0.44,,,,,1134.1428756713867,1,,0,,0,172
,1025.1271724700928,0,,0.0,-6.72,1025.1271724700928,-0.8200000000000001,-1.54,,,1,-0.8200000000000001,0,-1.54,0,173
1839.5090103149414,,1,1839.5090103149414,-0.8200000000000001,-1.54,,,,,814.3818378448486,1,,0,,0,173
,1315.22798538208,0,,0.0,-6.72,1315.22798538208,0.8200000000000001,5.72,,,1,0.8200000000000001,0,5.72,0,174
1728.816032409668,2215.1310443878174,0,1728.816032409668,0.8200000000000001,5.72,2215.1310443878174,4.8,3.92,486.3150119781494,413.5880470275879,1,4.8,0,3.92,0,174
2745.272159576416,3295.358180999756,0,2745.272159576416,4.8,3.92,3295.358180999756,4.5,-2.2,550.0860214233398,530.1411151885986,1,4.5,0,-2.2,0,174
3862.2231483459473,,1,3862.2231483459473,4.5,-2.2,,,,,566.8649673461914,1,,0,,0,174
,975.3220081329346,0,,0.0,-6.72,975.3220081329346,0.58,-2.74,,,1,0.58,0,-2.74,0,175
1488.6879920959473,1791.2359237670898,0,1488.6879920959473,0.58,-2.74,1791.2359237670898,-3.06,-3.94,302.5479316711426,513.3659839630127,1,-3.06,0,-3.94,0,175
2238.438844680786,2760.4618072509766,0,2238.438844680786,-3.06,-3.94,2760.4618072509766,-5.62,1.16,522.0229625701904,447.2029209136963,1,-5.62,0,1.16,0,175
3238.3408546447754,3590.808868408203,0,3238.3408546447754,-5.62,1.16,3590.808868408203,-2.2600000000000002,4.44,352.46801376342773,477.8790473937988,1,-2.2600000000000002,0,4.44,0,175
4110.059022903442,4521.474838256836,0,4110.059022903442,-2.2600000000000002,4.44,4521.474838256836,1.26,5.22,411.41581535339355,519.2501544952393,1,1.26,0,5.22,0,175
5121.4759349823,,1,5121.4759349823,1.26,5.22,,,,,600.0010967254639,1,,0,,0,175
,927.7009963989258,0,,0.0,-6.72,927.7009963989258,-2.92,-0.38,,,1,-2.92,0,-0.38,0,176
1527.8799533843994,,1,1527.8799533843994,-2.92,-0.38,,,,,600.1789569854736,1,,0,,0,176
,804.1319847106934,0,,0.0,-6.72,804.1319847106934,2.16,-0.92,,,1,2.16,0,-0.92,0,177
1304.408073425293,,1,1304.408073425293,2.16,-0.92,,,,,500.2760887145996,1,,0,,0,177
,847.235918045044,0,,0.0,-6.72,847.235918045044,-1.76,-2.8000000000000003,,,1,-1.76,0,-2.8000000000000003,0,178
1330.2431106567383,,1,1330.2431106567383,-1.76,-2.8000000000000003,,,,,483.00719261169434,1,,0,,0,178
,1640.265941619873,0,,0.0,-6.72,1640.265941619873,-1.56,3.36,,,1,-1.56,0,3.36,0,179
2034.9948406219482,2401.6458988189697,0,2034.9948406219482,-1.56,3.36,2401.6458988189697,-6.0600000000000005,-5.38,366.6510581970215,394.7288990020752,1,-6.0600000000000005,0,-5.38,0,179
2851.151943206787,,1,2851.151943206787,-6.0600000000000005,-5.38,,,,,449.5060443878174,1,,0,,0,179
,1079.7698497772217,0,,0.0,-6.72,1079.7698497772217,0.12,7.08,,,1,0.12,0,7.08,0,180
1528.7909507751465,2230.8759689331055,0,1528.7909507751465,0.12,7.08,2230.8759689331055,2.8000000000000003,-5.16,702.085018157959,449.0211009979248,1,2.8000000000000003,0,-5.16,0,180
3262.770891189575,,1,3262.770891189575,2.8000000000000003,-5.16,,,,,1031.8949222564697,1,,0,,0,180
